date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:32	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2015:48:32%20GMT	https://lnstagramcopyright.ga/robots.txt		(from )
17:48:33	174980/174980	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:48:34%20GMT	https://lnstagramcopyright.ga/account/help/service/5687534811/	C:/Users/PC-00/Desktop/fake/1/lnstagramcopyright.ga/account/help/service/5687534811/index.html	(from )
17:48:34	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/PC-00/Desktop/fake/1/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Jan%202019%2015:48:34%20GMT	https://newbigdata.science/__cpa.cp.js?dummy=bb38f5627f85538afdae92980142c88c&__cpo=1	C:/Users/PC-00/Desktop/fake/1/newbigdata.science/__cpa.cp.174e8.delayed	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:35	8320/8320	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/apple-touch-icon-76x76-precomposed.png/4272e394f5ad.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/apple-touch-icon-76x76-precomposed.png/4272e394f5ad4b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:36	16573/16573	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/apple-touch-icon-120x120-precomposed.png/02ba5abf9861.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/apple-touch-icon-120x120-precomposed.png/02ba5abf98614b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:37	24016/24016	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/apple-touch-icon-152x152-precomposed.png/419a6f9c7454.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/apple-touch-icon-152x152-precomposed.png/419a6f9c74544b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:37	27818/27818	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/apple-touch-icon-167x167-precomposed.png/a24e58112f06.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/apple-touch-icon-167x167-precomposed.png/a24e58112f064b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:37	31023/31023	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/apple-touch-icon-180x180-precomposed.png/85a358fb3b7d.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/apple-touch-icon-180x180-precomposed.png/85a358fb3b7d4b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:37	34715/34715	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/favicon-192.png/68d99ba29cc8.png?es6=1	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/favicon-192.png/68d99ba29cc84b91.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:38	335/335	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/bundles/base/sprite_glyphs.png/4f8c5d783a2c.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/bundles/base/sprite_glyphs.png/4f8c5d783a2c.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:39	502/502	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/bundles/base/sprite_glyphs_2x.png/4096734b4d61.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/bundles/base/sprite_glyphs_2x.png/4096734b4d61.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:39	34715/34715	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/ico/favicon-192.png/68d99ba29cc8.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/ico/favicon-192.png/68d99ba29cc8.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:40	131556/131556	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/bundles/base/sprite_core.png/2115b50d229d.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/bundles/base/sprite_core.png/2115b50d229d.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:42	546/546	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/images/rainbowGradient.png/558818d23695.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/images/rainbowGradient.png/558818d23695.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:42	262563/262563	---M-Z	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://instagram.com/static/bundles/base/sprite_core_2x.png/ee71e0282118.png	C:/Users/PC-00/Desktop/fake/1/instagram.com/static/bundles/base/sprite_core_2x.png/ee71e0282118.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:42	235/235	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/IE9JII6Z1Ys.png	C:/Users/PC-00/Desktop/fake/1/static.xx.fbcdn.net/rsrc.php/v3/yq/r/IE9JII6Z1Ys.png	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:42	1900/1900	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/jKEcVPZFk-2.gif	C:/Users/PC-00/Desktop/fake/1/static.xx.fbcdn.net/rsrc.php/v3/y9/r/jKEcVPZFk-2.gif	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:43	10728/10728	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:48:43%20GMT	https://media1.giphy.com/media/nql7dZDWmBCKc/giphy.gif?cid=19f5b51a5c0d1cba4d65564a77587cbc	C:/Users/PC-00/Desktop/fake/1/media1.giphy.com/media/nql7dZDWmBCKc/giphyc6df.html	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Jan%202019%2015:48:43%20GMT	https://newbigdata.science/connect/xd_arbiter/r/qMnGlIs-JNW.js?version=42&__cpo=aHR0cHM6Ly9zdGF0aWN4eC5mYWNlYm9vay5jb20	C:/Users/PC-00/Desktop/fake/1/newbigdata.science/connect/xd_arbiter/r/qMnGlIs-JNW.11d3ba.delayed	(from https://lnstagramcopyright.ga/account/help/service/5687534811/)
17:48:44	671/671	---M--	200	added ('OK')	image/jpeg	etag:%22198b7d5017427cd95c55b3966759bf96%22	https://i.giphy.com/media/nql7dZDWmBCKc/giphy-facebook_s.jpg	C:/Users/PC-00/Desktop/fake/1/i.giphy.com/media/nql7dZDWmBCKc/giphy-facebook_s.jpg	(from https://media1.giphy.com/media/nql7dZDWmBCKc/giphy.gif?cid=19f5b51a5c0d1cba4d65564a77587cbc)
17:48:45	1394971/1394971	---M--	200	added ('OK')	image/gif	etag:%226f504fac2bf223f26ba087f3d9d29f36%22	https://i.giphy.com/media/nql7dZDWmBCKc/giphy.gif	C:/Users/PC-00/Desktop/fake/1/i.giphy.com/media/nql7dZDWmBCKc/giphy.gif	(from https://media1.giphy.com/media/nql7dZDWmBCKc/giphy.gif?cid=19f5b51a5c0d1cba4d65564a77587cbc)
17:48:45	283/283	---M-Z	200	added ('OK')	application/json	date:Sun,%2020%20Jan%202019%2015:48:45%20GMT	https://giphy.com/services/oembed?url=https://media.giphy.com/media/nql7dZDWmBCKc/giphy.gif	C:/Users/PC-00/Desktop/fake/1/giphy.com/services/oembedb7e8.json	(from https://media1.giphy.com/media/nql7dZDWmBCKc/giphy.gif?cid=19f5b51a5c0d1cba4d65564a77587cbc)
17:48:45	10491/10491	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:48:46%20GMT	https://media.giphy.com/media/nql7dZDWmBCKc/200w_s.gif	C:/Users/PC-00/Desktop/fake/1/media.giphy.com/media/nql7dZDWmBCKc/200w_s.html	(from https://media1.giphy.com/media/nql7dZDWmBCKc/giphy.gif?cid=19f5b51a5c0d1cba4d65564a77587cbc)
